# x_m,y_m,w_tr_right_m,w_tr_left_m
98.0284,241.752
122.74,237.056
160.173,230.224
194.506,226.758
229.282,224.078
230.887,223.254
231.539,217.965
224.789,209.054
200.762,197.042
170.709,199.836
143.184,201.804
135.375,196.444
129.213,180.469
131.813,172.053
149.429,139.353
158.036,133.384
177.686,135.625
194.625,153.323
211.997,159.418
294.322,159.235
313.138,159.225
321.916,153.273
330.376,121.337
327.175,114.495
308.896,105.766
229.069,85.5646
176.004,72.4016
172.251,72.1916
168.957,78.2196
154.502,98.0826
143.257,113.888
104.52,191.111
62.8159,238.999
62.5388,239.451
63.9789,240.909
