# x_m,y_m,w_tr_right_m,w_tr_left_m
98.32845, 245.42700000000002, 3.68722863442179, 3.68722863442179
123.411, 240.661, 3.6669150521930454, 3.6669150521930454
160.687, 233.85750000000002, 3.6696754965528062, 3.6696754965528062
194.8315, 230.4105, 3.666975115814113, 3.666975115814113
230.3, 227.6775, 3.7406849974302756, 3.7406849974302756
234.288, 225.629, 4.148183457852362, 4.148183457852362
235.3605, 216.9375, 3.957223584787699, 3.957223584787699
227.195, 206.1575, 3.7654413087976883, 3.7654413087976883
201.46550000000002, 193.29399999999998, 3.8134520122849382, 3.8134520122849382
170.4085, 196.1815, 3.666833852249116, 3.666833852249116
144.2015, 198.055, 3.884624467049545, 3.884624467049545
138.387, 194.064, 3.8388206522316173, 3.8388206522316173
133.09199999999998, 180.336, 3.881279428229825, 3.881279428229825
135.2105, 173.477, 3.683854265575672, 3.683854265575672
152.24, 141.8655, 3.770195916660022, 3.770195916660022
158.9915, 137.18349999999998, 3.9178030195506346, 3.9178030195506346
175.95350000000002, 139.118, 3.899051839870813, 3.899051839870813
192.58350000000002, 156.49200000000002, 3.769652934953028, 3.769652934953028
211.37650000000002, 163.086, 3.720113472731706, 3.720113472731706
294.327, 162.9015, 3.666503409244289, 3.666503409244289
314.2645, 162.891, 3.83517382265785, 3.83517382265785
325.1095, 155.538, 3.9151841910694323, 3.9151841910694323
334.26149999999996, 120.98949999999999, 3.901008395274235, 3.901008395274235
329.94, 111.75200000000001, 3.894775218160855, 3.894775218160855
310.312, 102.37880000000001, 3.6712640656863664, 3.6712640656863664
229.95999999999998, 82.0086, 3.6659264858968448, 3.6659264858968448
176.553, 68.7601, 3.682651660149248, 3.682651660149248
170.144, 68.4011, 4.336742931048595, 4.336742931048595
165.853, 76.2541, 3.67396328914702, 3.67396328914702
151.52550000000002, 95.9411, 3.6668207619135154, 3.6668207619135154
140.1055, 111.992, 3.67787550768103, 3.67787550768103
101.4503, 189.053, 3.6957302512494, 3.6957302512494
59.85275, 236.81900000000002, 3.6786761100292535, 3.6786761100292535
57.90625, 239.98, 4.66265594940266, 4.66265594940266
62.4105, 244.538, 3.9534187180211555, 3.9534187180211555
