# x_m,y_m,w_tr_right_m,w_tr_left_m
193.99, 417.19550000000004, 3.6695558654965192, 3.6695558654965192
268.6105, 403.5765, 3.6727159568907704, 3.6727159568907704
336.96000000000004, 396.676, 3.670417006281446, 3.670417006281446
407.961, 391.207, 4.245365119751187, 4.245365119751187
418.08950000000004, 369.70550000000003, 4.802928533717743, 4.802928533717743
350.24, 322.37649999999996, 3.9080770527204076, 3.9080770527204076
288.0705, 328.156, 3.6693254489074514, 3.6693254489074514
235.6105, 331.906, 4.28103623553925, 4.28103623553925
213.37, 296.4355, 4.037215531774343, 4.037215531774343
217.6105, 282.706, 3.68831645198728, 3.68831645198728
251.7, 219.4265, 4.138886233034192, 4.138886233034192
299.16999999999996, 213.9265, 4.098751181762565, 4.098751181762565
332.46000000000004, 248.706, 3.773528852413882, 3.773528852413882
370.08000000000004, 261.906, 3.7231548450205447, 3.7231548450205447
536.13, 261.536, 3.670003405992986, 3.670003405992986
576.04, 261.51599999999996, 3.8394379797048264, 3.8394379797048264
597.75, 246.7955, 3.917854163952547, 3.917854163952547
616.0705, 177.6365, 3.9040856163767375, 3.9040856163767375
607.4200000000001, 159.14600000000002, 3.8983136097548376, 3.8983136097548376
567.624, 140.1815, 3.6739059936258465, 3.6739059936258465
407.2805, 99.6063, 3.6706071350663563, 3.6706071350663563
300.37, 73.0851, 3.686756060549708, 3.686756060549708
287.54, 72.3656, 4.341162171584935, 4.341162171584935
278.95050000000003, 88.0851, 3.6771454281820395, 3.6771454281820395
250.2695, 127.4955, 3.6696123092228685, 3.6696123092228685
227.41, 159.62650000000002, 3.6807909815690367, 3.6807909815690367
150.02949999999998, 313.8855, 3.6994481345195402, 3.6994481345195402
66.75975, 409.506, 4.225274488420845, 4.225274488420845
71.87989999999999, 424.95550000000003, 4.487018727395711, 4.487018727395711
143.78, 426.7355, 3.6907129731259105, 3.6907129731259105
