# x_m,y_m,w_tr_right_m,w_tr_left_m
147.2885, 288.3135, 4.724956137362541, 4.724956137362541
173.267, 282.69100000000003, 4.81649426450401, 4.81649426450401
191.53199999999998, 286.101, 4.790587124768758, 4.790587124768758
201.6395, 284.539, 4.846834043992016, 4.846834043992016
213.1485, 276.528, 4.746335770886822, 4.746335770886822
224.596, 271.62350000000004, 4.919011308179722, 4.919011308179722
236.4235, 273.582, 4.737327120856236, 4.737327120856236
245.8725, 276.773, 4.951959940266069, 4.951959940266069
255.0515, 274.0705, 4.91912253354193, 4.91912253354193
260.6, 267.688, 4.82199388220269, 4.82199388220269
265.96299999999997, 250.773, 4.802058829293943, 4.802058829293943
276.21799999999996, 237.9105, 4.737927210289331, 4.737927210289331
346.5085, 174.6945, 4.723803605147043, 4.723803605147043
380.7985, 139.6395, 4.807738397625242, 4.807738397625242
385.599, 128.1895, 5.046301145393532, 5.046301145393532
381.779, 116.83500000000001, 4.969411735809383, 4.969411735809383
372.2415, 110.134, 4.81356003909789, 4.81356003909789
349.863, 105.116, 4.7586325766967965, 4.7586325766967965
307.2655, 83.48975, 5.007466931743036, 5.007466931743036
304.399, 77.11455000000001, 5.222950710326471, 5.222950710326471
308.214, 69.42555, 5.170333811515459, 5.170333811515459
303.89200000000005, 58.560249999999996, 5.060537428228351, 5.060537428228351
292.21500000000003, 52.8249, 4.985866104299228, 4.985866104299228
278.57849999999996, 55.55285, 4.936960780935989, 4.936960780935989
265.91700000000003, 68.32625, 4.723561667058038, 4.723561667058038
209.024, 132.249, 4.928730161004973, 4.928730161004973
207.406, 143.2425, 4.973135957321096, 4.973135957321096
211.9365, 151.6985, 4.724718457220498, 4.724718457220498
223.91, 178.47, 5.124202376955842, 5.124202376955842
211.778, 209.07600000000002, 4.75253216717152, 4.75253216717152
200.3005, 225.688, 7.864427585654271, 7.864427585654271
214.4665, 230.4105, 4.7240472584427025, 4.7240472584427025
228.4735, 234.15800000000002, 7.24617349019466, 7.24617349019466
223.91, 244.576, 4.984778831603265, 4.984778831603265
202.1705, 256.6095, 5.126964257726025, 5.126964257726025
185.4435, 251.52800000000002, 4.796762058931008, 4.796762058931008
87.38535, 177.0885, 4.84114655350362, 4.84114655350362
83.67914999999999, 169.912, 5.808707302188672, 5.808707302188672
89.69575, 163.6685, 4.846043628827536, 4.846043628827536
102.5706, 158.9685, 4.913864386610601, 4.913864386610601
107.421, 152.7175, 5.0757005674093865, 5.0757005674093865
106.608, 143.83550000000002, 5.220685132240788, 5.220685132240788
99.25489999999999, 138.8275, 5.354174029670694, 5.354174029670694
88.2653, 143.2645, 4.79811224233031, 4.79811224233031
64.03565, 165.426, 4.805843297747028, 4.805843297747028
53.5844, 186.7975, 4.923063674176886, 4.923063674176886
60.04600000000001, 240.94, 4.722222066993464, 4.722222066993464
66.41640000000001, 276.5925, 4.817717747025031, 4.817717747025031
72.59765, 286.10450000000003, 4.942832165115477, 4.942832165115477
85.8784, 291.63, 4.800188017150997, 4.800188017150997
116.9245, 292.664, 4.740053929018112, 4.740053929018112
